kharada,English
ತೋ ಶಾಲೇಕೆ ಏರ,He comes to school.
ತೀ ರಂದಿರ,She cooks food.
ಅಮ್ಮಿ ಪುಸ್ತಕ ವಾಚಿರಿ,We read books.
ತೆಣ ಪತ್ರ ಬರೇಲ್ಲ,He wrote a letter.
ತೂ ಮಜ್ಜಂಗತ ಯೋ,Come with me.
ಏ ಮಥ ಘಾರ,This is my house.
ಏ ಹೊಳ್ಳ ರೂಖು,That is a big tree.
ತೋ ಕೆಲಸ ಕರ್ರ,He works.
ತೀ ಶಾಲೇನು ವಾಚಿರ,She studies at school.
ಅಮ್ಮಿ ಖೇಳು ಖೇಡ್ರಿ,We play a game.
ತುಮ್ಮಿ ಕೆಶ್ಶ ಕರ್ರಿ,What are you doing?
ಮುಕ್ಕ ಸಹವೊ ದಾಯೆ,I need help.
ತೆಣ ಉದೊ ಪೀಲ್ಲ,He drank water.
ತೆನೆ ಘಾರ ಸ್ವಚ ಕೆಲ್ಲ,She cleaned the house.
ಅಮ್ಮಿ ಪೈ ಒಚ್ಯ,Let us go tomorrow.
ಸತ್ಯ ಸಾಂಗ,Tell the truth.
ಅತ್ತ ಹಂಗ ರಾಭ,Stand here now.
ತೆಣ ಪೈಶೆ ದಿಲ್ಲ,He gave money.
ತೆನೆ ಫಳ ಖಲ್ಲ,She ate fruit.
ತೂ ಮತ್ತ ಸ್ನೇಹಿತ,You are my friend.
ತೇ ಕಷ್ಟಚ್ಚ ಕೆಲಸ,That is a difficult task.
ಮುಕ್ಕ ಉತ್ತರ ಗೊತ್ತೂಂತ್ಸ,I know the answer.
ತೋ ಶಾಲೆ ಸೊಳ್ಳ,He left school.
ಅಮ್ಮಿ ಕೆಲಸ ಸಾರ್ಲ್,We finished the work.
ತುಮ್ಮಿ ಖೈ ವೇರಿ,Where are you going?
ಮುಕ್ಕ ಚಾ ಧಾಯೆ,I want tea.
ತೆಣೆ ಪತ್ರ ವಾಚಿಲ,She read the letter.
ಅಮ್ಮಿ ಸಕ್ಕಳಂಚಿ ಚೌಕಿಲಿ,We walked in the morning.
ತುಮ್ಮಿ ಕೆ ಶ್ಶ್ ಕಾರ್ಗನೂಟ್ಟ,What are you doing?
ಮುಕ್ಕ ಕಾಫಿ ಇಷ್ಟ,I like coffee.
ತೆ ಣ ಘಾರ ಬಂದಿಲ,He built a house.
ತೀ ಶಾಲೆಕ ಗೆಲ್ಲ,She went to school.
ಉತ್ತರ ಸಾಂಗ,Tell the answer.
ಮುಕ್ಕ ಭಯ ಅತ್ಸ,I am afraid.
ತೆಣ ಸತ್ಯ ಸಂಗಿಲ,He told the truth.
ತೆಣೆ ಮುಕ್ಕ ಕರೆ ಧಿಲ್ಲ,She called me.
ಅಮ್ಮಿ ಖೇಳು ಗೆಲ್ಪಲಿ,We won the game.
ತೇ ತುತ್ತು ಪುಸ್ತಕ,That is your book.
ಮಜ್ಜೇಣಿ ಪೈಶೆ ನಾ,I have no money.
ತೀ ರೋಕ ಕಾರ್ನು ಹಾಶಿಲಿ,She smiled nicely.
ತುಮ್ಮಿ ರೆಡಿ ದಲ್ಯಾ,Are you ready?
ಮುಕ್ಕ ಪುಸ್ತಕ ದಾಯೆ,I need a book.
ತೆಣ ಚಾ ಪೀಲ,He drank tea.
ಅಮ್ಮಿ ಘಾರ ಕ್ಲೀನ್ ಕರ್ಯ,Let us clean the house.
ತೂ ಹಂಗ ರಾಭ,Stay here.
ಏ ನವೆ ಬೇಗ,This is a new bag.
ತೇ ಫುಳ್ಳನ್ನ ಘಾರ,That is an old house.
ಮಜ್ಜಿಣಿ ಏಕ ಪ್ರಶ್ನೆ ಅತ್ಸ,I have a question.
ತೀ ಹಾಡು ಶಿಕ್ಕಿಲಿ,She learned a song.
ಅಮ್ಮಿ ವೆಗ್ಗಿ ಧೌವ್ಯ,Let us run fast.
ಮುಕ್ಕ ಇದ್ದು ವೇಳುದೀ,I need time.
ತೆಣ ಪತ್ರ ವಾಚಿಲ,He read the letter.
ತೂ ಹಂಗ ರಾಭ,Stay here.
ಏ ಕುಙ ಪ್ರಶ್ನೆ,That is a small question.
ಮುಕ್ಕ ನೀದ ದಾಯೆ,I need sleep.
ತೋ ಉದೊ ಹಡ್ರ,He brings water.
ತೀ ಘರಾಣಿ ಏರ,She comes home.
ತುಮ್ಮಿ ಹಂಗ ಯೊ,Come here.
ಮುಕ್ಕ ಖುಷಿ ಅತ್ಸ,I am happy.
ತೆಣ ಕೆಲಸ ಸುರು ಕೆಲ್ಲ,He started the work.
ತೀ ಪುಸ್ತಕ ಹಡ್ರ,She brings a book.
ಅಮ್ಮಿ ಗೆಲ್ಪಲಿ ಆಜಿ,We won today.
ತೀ ಅತ್ತ ಏರ,She is coming now.
ಉಲ್ಲೇನಸ ರಭ್ಯ,Stay calm.
ಏ ಭರ್ತಿ ಸುಲಭ,This is very simple.
ತುವೆ ಸಂಗಿಲ್ಲ ಅರ್ಥ ದಲ್ಲ,I understand your words.
ತೀ ಚಾ ಕರ್ರ,She makes tea.
ತುಮ್ಮಿ ಇದ್ದುವೇಳ ರಭ್ಯ,Please wait.
ಮುಕ್ಕ ಇದ್ದು ವೇಳು ರೆಸ್ಟ್ ದಾಯೆ,I need some rest.
ತೆಣ ಪುಸ್ತಕ ಹಾಣ್ಣುದಿಲ್ಲ,He brought the book.
ತೆಣೆ ಕಿಟಕಿ ಕಾಳ್ಳ,She opened the window.
ಏಕ ಪ್ರಶ್ನೆ ವಿತಾರ್ಯ,Let us ask a question.
ಏ ಸಮದಲ್ಲ ಉತ್ತರ,This is the correct answer.
ಏ ತಪ್ಪು ನಿರ್ಧಾರ,That is a wrong decision.
ಮುಕ್ಕ ಸಹಾವು ಕಾರಿ,Help me.
ತೋ ವೆಗ್ಗಿ ಚೌಂಕರ,He walks fast.
ಅಮ್ಮಿ ಕೆಲಸ ಮುಂದುವರಿಸ್ಪ್ಯ,Let us continue the work.
ತುಮ್ಮಿ ಬಿತರಿ ಯೂ,Come inside.
ಮುಕ್ಕ ನವೆ ಪುಸ್ತಕ ದಾಯೆ,I need a new book.
ತೋ ಶಾಲೆಕ ಒಚ್ಯಾಕ ಶುರು ಕೆಲ್ಲ,He started school.
ತೀ ಹಾಡು ಅಯ್ಕರ,She listens to songs.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಧೌವ್ಯ,Let us run in the morning.
ತುವೆ ಸಂಗಿಲ್ಲ ಸಮ,You said it right.
ಏ ಮತ್ತ ಸ್ನೇಹಿತ,This is my friend.
ಏ ಅಮ್ತ ಗಾವ,That is our village.
ಮುಕ್ಕ ಪುರುಸೊತ್ತು ಮೇಳ,I got time.
ತೋ ಕೆಲಸ ಸೊದ್ದುನ್ಗ ನ್ನೊಟ್ಟ,He is looking for a job.
ತೆಣೆ ಫಲ ಕುಟ್ಟಂಕೆಲ್ಲ,She cut the fruit.
ಅಮ್ಮಿ ಪೈ ಭೇಟಿ ದೌವ್ಯ,Let us meet tomorrow.
ತುಮ್ಮಿ ರೆಡಿ ದಾ,Be ready.
ಮುಕ್ಕ ಉತ್ತರ ಮೇಳ್ಹ,I got the answer.
ತೋ ಘಾರಕ ಪರ್ತನು ಗೆಲ್ಲೊ,He returned home.
ತೆತ್ತ ಶಿಕ್ಕುನು ದಲ್ಲ,She finished school.
ಅಮ್ಮಿ ನವೆ ಶಿಕ್ಯ,Let us learn something new.
ತೂ ಸತ್ಯ ಸಾಂಗ,Tell the truth.
ಏ ರೋಕು ಅವಕಾಶು,This is a good opportunity.
ತೇ ಕಷ್ಟ ಪ್ರಶ್ನೆ,That is a tough question.
ಮುಕ್ಕ ಏಕ ವಿತಾರಾ ಅತ್ಸೆ,I have one question.
ತೆಣ ಮುಕ್ಕ ಉಲ್ಲದಿಲ್ಲ,He called me.
ತೆಣೆ ಉದೊ ಫಲ್ಹ್ಲ,She poured water.
ಅಮ್ಮಿ ಪುಸ್ತಕ ಹಡ್ರಿ,We bring books.
ತುಮ್ಮಿ ಬಾಗಿಲ ಕಡ್ಯ,Open the door.
ಮುಕ್ಕ ಸಹಾವು ಮೇಳ್ಹ,I got help.
ತೆ ಣ ಪತ್ರ ಬ ಳೆಲ್ಹ,He sent a letter.
ತೀ ರೋಕ ಕಾರ್ನು ಉಲ್ಲೇರ,She speaks well.
ಅಮ್ಮಿ ಅತ್ತ ಶುರು ಕಾರ್ಯ,Let us start now.
ಹವೆ ಸಂಗಿಲ್ಲ ಆಯ್ಕ,Listen to me.
ಏ ಹೊಳ್ಳ ಘಾರ,This is a big house.
ತೇ ಕುಞ ರೂಖು,That is a small tree.
ಮುಕ್ಕ ಪೈಶೆ ಮೇಳ್ಹ,I got money.
ತೋ ಶಾಲೆಕ ಗೆಲೊಲ್,He went to school.
ತೀ ಕೆಲಸಾ ಗೆಲ್ಲ,She is working.
ಅಮ್ಮಿ ಗೆ ಲ್ಪಯ,Let us achieve victory.
ತಮ್ಮಿ ಹಂಗ ರಭ್ಯ,Stand here.
ಮುಕ್ಕ ನೀಧ ಏರ,I feel sleepy.
ತೋ ಚಾ ಪೀರ,He drinks tea.
ತೀ ಖುಷಿನೆ ಹಾಸರ,She smiles happily.
ತೂ ವೆಗ್ಗಿಯೋ,Come quickly.
ಏ ನವೆ ಘಾರ,This is a new house.
ತೇ ಪೋರ್ನ್ ಪುಸ್ತಕ,That is an old book.
ಮುಕ್ಕ ತುತ್ತು ಸಹಾವು ಧಾಯೆ,I need your help.
ತೆ ಣ ಕೆಲಸ ಸರ್ಲ್,He finished the work.
ತೀ ಶಾಲೆಕ ಏರ,She comes to school.
ತುಮ್ಮಿ ಪ್ರಶ್ನೆ ವಿತಾರ,Ask a question.
ಮುಕ್ಕ ಸಮಯ ಧಾಯೆ,I need time.
ತೆ ಣ ಬಾಗಿಲ ಧಂಪಿಲ,He closed the door.
ತೀ ಪತ್ರ ವಾಚಿರ,She reads a letter.
ಅಮ್ಮಿ ಅತ್ತ ಓಚ್ಯಾ,Let us go now.
ತೂ ಮತ್ತ ಸ್ನೇಹಿತ,You are my friend.
ಏ ಸಮಧಲ್ಲ ಮುರ್ಗು,This is the right way.
ತೇ ತಪ್ಪು ಉತ್ತರ,That is the wrong answer.
ಮುಕ್ಕ ಪುಸ್ತಕ ಇಷ್ಟ,I like books.
ತೋ ಮುಕ್ಕ ಸಹಾವು ಕರ್ರ,He helps me.
ತೀ ಘರಾಣಿ ಗೆಲ್ಲಿ,She went home.
ಅಮ್ಮಿ ಕೆಲಸ ಕರಾ ಶುರು ಕಾರ್ಯ,Let us start the work.
ಹವೆ ಸಕ್ಕಳ ಉಡ್ಕಿಲೆ,I woke up in the morning.
ತೋ ವೆಗ್ಗಿ ಬೈಸರ್ಲೊ,He left early.
ತೀ ಮುಕ್ಕ ಮೆಳ್ಸೋಟ್ಟ,She met me.
ಅಮ್ಮಿ ಏಕ ಕೆಲಸ ಕರ್ಯ,Let us work today.
ತುಮ್ಮಿ ಹಂಗ ರಖ್ಯ,Wait here.
ಮುಕ್ಕ ಶಿಂಕಾರ,I feel cold.
ತೋ ಹಣ್ಣು ಖಾರ,He eats fruit.
ತೀ ಉದೋ ಹಡ್ರ,She brings water.
ಅಮ್ಮಿ ಪುಸ್ತಕ ವಾಚಿರಿ,We read books.
ತೂ ಬೀತರಿ ಯೋ,Come inside.
ಏ ರೋಕ ವಿಷಯ,This is good news.
ತೇ ಕುಚ್ಚಟ ವಿಚಾರ,That is bad news.
ಮುಕ್ಕ ತುತ್ತು ನಾವ ಗೊತ್ತೂಂತುಸು,I know your name.
ತೆ ಣ ಬಾಗಿಲ ಕಳ್ಳ,He opened the door.
ತೆಣೆ ಕೆಲಸ ಸಾರ್ಲ,She finished the work.
ಅಮ್ಮಿ ಪೈ ವಾಚ್ಯ,Let us study tomorrow.
ತೂ ಸತ್ಯ ಸಾಂಗ,Tell the truth.
ಮುಕ್ಕ ಇದ್ದು ಉದ್ದೋಧಾಯೇ,Give me some water.
ತೋ ಶಾಲೆಕ ಶೇರ್ಪಾಲೋ,He joined school.
ತೀ ಹಾಡು ಅಭ್ಯಾಸ ಕರ್ರ,She practices a song.
ಅಮ್ಮಿ ಘರಾ ಣಿ ಬ ಚ್ಯಾ,Let us return home.
ತೂ ವೇಗ್ಗಿ ಚೌಕ,Walk fast.
ಏ ನವೆ ಪ್ರಶ್ನೆ,This is a new question.
ತೇ ಸಮದಲ್ಲ ಸಮಯ,That is the right time.
ಮುಕ್ಕ ಏಕ ಉತ್ತರ ದಾಯೆ,I need one answer.
ತೆಣ ಮುಕ್ಕ ಪಳೇಲ್ಲ,He saw me.
ತೆಣೆ ಆಜಿ ಪತ್ರ ಬರೇಲ್ಲ,She wrote a letter today.
ಅಮ್ಮಿ ಖೇಳು ಶುರು ಕರ್ಯ,Let us start the game.
ಹಂಗ ಭಡ್ಕ ಅತ್ತ,Sit here now.
ತೆಣ ಪೈಶೆ ಹಾಣ್ಣು ದಿಲ್ಲ,He brought money.
ತೀ ಘಾರ ಸ್ವಚ್ಛ ಕರ್ಗನ್ನೊಟ್ಟ,She is cleaning the house.
ಅಮ್ಮಿ ವೆಗ್ಗಿ ಗೆಲ್ಲಿ,We went quickly.
ತೂ ಮಜ್ಜ ಸಂಗತ ರಾಭ,Stay with me.
ಏ ಸುಲಭ ಕೆಲಸ,This is simple work.
ತೇ ಹೊಳ್ಳ ಅವಕಾಶು,That is a big opportunity.
ಮುಕ್ಕ ತುತ್ತೆ ಉಲ್ಲಣೆ ಇಷ್ಟ,I like your words.
ತೋ ಚಾ ಕರ್ರ,He makes tea.
ತೀ ಶಾಲೇಂಟು ಸೊಳ್ಳಿ,She left school.
ಅಮ್ಮಿ ಅತ್ತ ಧೌವ್ಯ,Let us run now.
ತುಮ್ಮಿ ಪ್ರಶ್ನೆ ವಿತಾರ,Ask a question.
ಮುಕ್ಕ ಪುರ್ಸೋತ್ತು ಮೆಣ್ಣೆ,I did not get time.
ತೆಣ ಆಜಿ ಪತ್ರ ಬಳೇಲ್ಲ,He sent a letter today.
ತೀ ಖುಷೀನೆ ಉಲ್ಲೇರ,She speaks happily.
ಅಮ್ಮಿ ಕೆಲಸ ಸಾರ್ಪ್ಯ,Let us finish the work.
ತುವೆ ಸಂಗಿಲ್ಲ ಸಮ,You said it right.
ಮುಕ್ಕ ತುತ್ತ ಸಹಾವು ಮೇಳ್ಹ,I got your help.
ಹಾವ ಸಕ್ಕಳ ಧಾವರ,I run in the morning.
ತೂ ಮತ್ತ ಸಂಗತ ಯೋ,You come with me.
ತೋ ಪುಸ್ತಕ ಹಡ್ರ,He brings a book.
ತೀ ದೂದ ಪೀರ,She drinks milk.
ತೂ ಹುಳು ಉಲ್ಲಾಯೆ,You speak slowly.
ಮುಕ್ಕ ನವೆ ಶಿಕ್ಕಪ ಇಷ್ಟ,I like learning new things.
ತೋ ರೂಖು ಬಿಯ್ರ್,He plants a tree.
ತೆಣೆ ಕಿಟಕಿ ಧಂಪಿಲ,She closed the window.
ಅಮ್ಮಿ ಪೌಸು ಯ್ಯಪ ಪಳೋಂಗಣ್ಣು ಒಟ್ಟ,We are watching the rain.
ತೂ ಮುಕ್ಕ ಸಹಾವು ಕಾರಿ,You help me.
ಮುಕ್ಕ ಆಜಿ ಪುರುಸೋತ್ತು ನಾ,I am busy today.
ತೆಣ ಗಡಿಯಾರ ಪಳೇಲ,He looked at the clock.
ತೆಣೆ ಸ್ನೇಹಿತಾಕ ಕಾಲ್ ಕೆಲ್ಲ,She called her friends.
ಅಮ್ಮಿ ಪಾರ್ಕ್ ಕಾ ಒಚ್ಯಾ,Let us go to the park.
ತೂ ಹಂಗ ಬರಾಯೆ,You write here.
ಮುಕ್ಕ ಏ ಹಾಡು ಇಷ್ಟ,I like this song.
ತೋ ವೆಗ್ಗಿ ಉಡ್ಕಿಲೋ,He woke up early.
ತೀ ಮಾರ್ಕೆಟಕ್ ಗೆಲ್ಲಿ,She went to the market.
ಅಮ್ಮಿ ಲೈಬ್ರೆರಿಕ ಒಚ್ಯ,Let us go to the library.
ತೂ ಹುಳು ಚೌಂಕ,You walk slowly.
ಹಾವ ಅತ್ತ ವಾಚುಂಗನೋಟ್ಟ್,I am studying now.
ತೋ ಕೆಲಸ ಸೊದ್ದುನ್ಗನೋಟ್ಟ,He is looking for a job.
ತೆಣೆ ಏಕ ಕಥೆ ಸಂಗಿಲ,She told a story.
ಅಮ್ಮಿ ಖೇಳು ಖೇಳಾಕ ಬಿಚ್ಯಾ,Let us go play.
ತೂ ಹವೆ ಸಂಗಡ ಆಯ್ಕ,You listen to my words.
ಮುಕ್ಕ ಏ ಚಿತ್ತ ಇಷ್ಟ,I like this picture.
ಹವೆ ನವೆ ಮಡ್ಡಿ ಬಾಯ್ಲೆ,He planted a new plant.
ತೀ ಸ್ನೇಹಿತಾಕ ಭೇಟಿ ಧಲ್ಲಿ,She met a friend.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಚಾ ಪಿಯೋವ್ಯ,Let us drink tea in the morning.
ತೂ ಬಾಗಿಲ ಘಾಲಿ,Please close the door.
ಹಾವ ಪೈ ಏರ,I will come tomorrow.
ತೆಣ ಪೇಡರ ಕಂಗಳ್ಳ,He took the paper.
ತೀ ರೋಕ ಕಾರ್ನು ಬರೇರ,She writes well.
ಅಮ್ಮಿ ಇದ್ದುವೆಳು ಭಡ್ಯಾ,Let us take rest now.
ತೂ ಸಮ ಆಯ್ಕ,You listen properly.
ಮುಕ್ಕ ಉತ್ತರ ವೇಣ್ಣೆ,I did not get the answer.
ತೆಣ ಮಡ್ಯಂಕ ಉದೋ ಘಲ್ಲ,He watered the plants.
ತೆಣೆ ಪುಸ್ತಕ ಹಳ್ಳ,She bought a book.
ಅಮ್ಮಿ ಸಂಗತಾ ಭಡಿಕುನು ವಾಚ್ಯ,Let us study together.
ತೂ ಏಕ ಮೆಸೇಜು ಘಾಲಿ,You send me a message.
ತೆಣ ಸ್ನೇಹಿತಾಕ ಪಳೆಲ್ಲ,He saw his friend.
ತೆಣೆ ಜವಣ ಸಿದ್ದ ಕೆಲ್ಲ,She prepared food.
ಅಮ್ಮಿ ಅತ್ತ ಬೈಸಾರ್ಯ,Let us leave now.
ತೂ ಹುಳು ವಾಚಿ,You read slowly.
ಮುಕ್ಕ ಏ ಜಾಗ ಇಷ್ಟ,I like this place.
ತೆ ಣೆ ಚಿತ್ತ ಬಿಡಿಸ್ಪೆಲ್ಲ,He drew a picture.
ತೆಣೆ ಬಸ್ ದರ್ಲ್ಲ,She caught the bus.
ಅಮ್ಮಿ ನೈ ಬಂಧಿಂಟು ಚೌಕ್ಯ,Let us walk by the riverbank.
ತೂ ಅತ್ತ ಆಯ್ಕ,You listen now.
ಹವೆ ಕೆಲಸ ಸಾರ್ಲ,I finished the work.
ತೋ ಸಂಗೀತ ಆಯ್ಕರ,He listens to music.
ತೀ ಪಾಟು ಅಭ್ಯಾಸ ಕರ್ರ,She practices the lesson.
ಅಮ್ಮಿ ಸಕ್ಕಳ ವಾಚ್ಯ,Let us study in the morning.
ತುಮ್ಮಿ ಉತ್ತರ ಬರಾಯ,You write the answer.
ಮುಕ್ಕ ಏ ಪುಸ್ತಕ ಧಾಯೆ,I need this book.
ತೆಣ ಬಾಗಿಲ ಕಟ್ಟುಪಿಲ,He knocked on the door.
ತುವೆ ಮಜ್ಜಿಣಿ ಹಾಶಿಲ,You smile at me.
ಹಾವ ಆಜಿ ಖುಪೀಣೆ ಬಿಟ್ಟ,I am happy today.
ತೆಣ ಟೈಣ ಘೆಳ್ಳ,He boarded the train.
ಲೇ ಕ್ಲಾಸ್ಸನೂ ಭಟಿಕಲಿ,She sat in the classroom.
ಅಮ್ಮಿ ಕಥೆ ಆಯ್ಕ,Let us listen to a story.
ತುಮ್ಮಿ ವೆಗ್ಗಿಯೂ,You come quickly.
ಮುಕ್ಕ ನವೆ ಅವಕಾಶು ಮೇಳ್ಳ,I got a new opportunity.
ತೋ ನವೆ ಕೆಲಸ ಶುರು ಕರ್ರ,He starts work.
ತೆಣೆ ಚೋಕಲೇಟು ಖಲ್ಲ,She ate chocolate.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಮೆಳ್ಯಾ,Let us meet in the evening.
ಹಾವ ಏ ಟಾಪಿಕ್ ವಾಚುಂಗನೂಟ್ಟ,I am studying this topic.
ತೆಣ ಕಿಟಕಿ ಕಾಳ್ಳ,He opened the window.
ತೆಣೆ ಸ್ನೇಹಿತಾಕ ಪತ್ರ ಬರೇಲ್ಲ,She wrote a letter to her friend.
ಅಮ್ಮಿ ಪಾರ್ಕನ್ನು ಖೇಳ್ಯ,Let us play in the park.
ತೂ ಮಜ್ಜಂಗತ ಯೋ,You come with me.
ಏ ಶಿಕ್ಕಿಲ್ಲ ರೋಕಧಲ್ಲ,This learning is helpful to me.
ತೀ ಹುಳು ಉಲ್ಲೇರ,He spoke slowly.
ತೆಣೆ ಪುಲ್ಲ ಕುಂಟಿಲ,She plucked a flower.
ಆಜಿ ಪ್ರಾಯ್ತ್ನ ದಾಢ್ಯ,Let us try today.
ತೂ ಆಜಿ ಬಾರಾಯೆ,You write now.
ಹಾವ ಘರಾಣಿ ಪತ್ತಲೇ,I reached home.
ತೆಣೆ ಪಾಟು ಆಯ್ಕಿಲ,He listened to the lesson.
ತೆಣೆ ಹಣ್ಣು ಹಳ್ಳ,She bought fruit.
ಅಮ್ಮಿ ಪುಸ್ತಕ ಶೇರ್ ಕರ್ಯ,Let us share the book.
ತುಮ್ಮಿ ಹಂಗ ರಭ್ಯ,You stand here.
ಮಜ್ಜಿ ಏಕ ನವೆ ಆಲೋಚನೆ ಅತ್ಯ,I got a new idea.
ತೆಣ ಸ್ನೇಹಿತಾಕ ಸಹಾವು ಕೆಲ್ಲ,He helped his friend.
ತೆಣೆ ಕಿಟಕಿ ಕಾಳ್ಳ,She opened the window.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಮೇಲ್ಯಾ,Let us meet in the morning.
ಹಾವ ಏ ಕೆಲಸ ಕರ್ರ,I will do this work.
ತೋ ಕ್ಲಾಸಾಕ ಆಯ್ಲಾ,He came to class.
ತೆಣೆ ಉತ್ತರ ಬರೇಲ್ಲ,She wrote the answer.
ಅಮ್ಮಿ ಅತ್ತ ಶಿಕ್ಯ,Let us learn now.
ತೂ ಗಮನ ದ್ಹೌನು ಅಯ್ಕ್ಯಾ,You listen carefully.
ಮುಕ್ಕ ಏ ಕಥೆ ಇಷ್ಟ,I like this story.
ತೆಣ ಚಾ ಕೆಲ್ಲ,He made tea.
ತೆಣೆ ಮಡೇ ಒಯ್ಲ್,She planted a plant.
ತೂ ಡೈ ಯೋ,You come tomorrow.
ಹವೆ ನವೆ ವಿಷಯ ಶಿಕ್ಕಿಲೆ,I learned a new topic.
ತೆಣ ಪೆಡರ ವಾಚಿಲ,He read the paper.
ತೀ ಶಲೆಕ ಪತ್ತಲಿ,She reached school.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಚೌನ್ಕೆಯ,Let us walk in the evening.
ತೂ ಹಂಗ ಬರೋ ನ್ನು ದೀ,You write it here and give it.
ಮುಕ್ಕ ಏ ಖೇಳು ಇಷ್ಟ,I like this game.
ತೋ ಗಾಡಿ ಧಂಡೇರ,He drove the vehicle.
ತೆಣೆ ಪಾಠು ವಾಚೀಲ,She read the lesson.
ಒಟ್ಟು ಶೇರ್ಪುನು ಕೆಲಸ ಕರ್ಯ,Let us share the work.
ತೂ ಮಜ್ಜ ಸಂಗತ ರಾಭ,You stay with me.
ಹವೆ ನವೆ ಪುಸ್ತಕ ಕಂಗಳ್ಳ,I bought a new book.
ತೀ ಸ್ನೇಹಿತಾಕ ಪಳೋನು ಹಾಶಿಲಿ,She smiled at her friend.
ಅಮ್ಮಿ ಇದ್ದು ವೇಳು ರೆಸ್ಟ್ ಕಡ್ಯ,Let us take rest now.
ತುಮ್ಮಿ ಹಂಗ ಭಡ್ಕುನು ವಾಚ್ಯ,You sit here and read.
ಮುಕ್ಕ ಏ ಹಾಡು ಭರ್ತಿ ಇಷ್ಟ,I like this song very much.
ತೋ ಸಕ್ಕಳ ಉಡ್ಕಿಲೋ,He woke up in the morning.
ತೀ ಜೆನ್ನಾಕ ಗೆಲ್ಲಿ,She walks in the garden.
ಅಮ್ಮಿ ವೆಗ್ಗಿ ಶುರು ಕರ್ಯ,Let us start quickly.
ತುಮಿ ಉತ್ತರ ಸಂಗ್ಯ,You say the answer.
ಹಾವ ಏ ಪ್ರಶ್ನೆ ವಿತಾರ್ರ,I ask this question.
ತೆಣ ಕೆಲಸ ಮುಂದುವರಿಸ್ಪಿಲ,He continued the work.
ಅಮ್ಮಿ ಪೈ ಧೌವ್ಯ,Let us run tomorrow.
ಹವೆ ಸಂಗಪ ಅರ್ಥ ಕರ್ಗಂಣ,You understand my words.
ಮುಕ್ಕ ಏ ಕೆಲಸ ಸುಲಭ,This work is easy for me.
ಹವೆ ಏಕ ನವೆ ಸ್ನೇಹಿತಾಕ ಕರ್ಗಂಗಳ್ಳ,He made a new friend.
ತೀ ಕ್ಲಾಸಂಟ್ಟು ಗೆಲ್ಲಿ,She left the class.
ಅಮ್ಮಿ ಬಿಟ್ಟುಲೆ ಗೆಲ್ಪ್,Let us win together.
ತೂ ಹುಳು ಉಲ್ಲಾಯೆ,You speak slowly.
ಹಾವ ಹಂಗ ವಾಚಿರ,I study here.
ತತ್ತ ಕೆಲಸ ಸಾರ್ಲ,He finished the work.
ತೀ ಸಕ್ಕಳಾಂಚಿ ಧಾವಲಿ,She ran in the morning.
ಅಮ್ಮಿ ಘಾರ ಕ್ಲೀನ್ ಕರ್ಯ,Let us clean the house.
ತೂ ಅತ್ತ ಶುರು ಕಾರಿ,You start now.
ಮುಕ್ಕ ನವೆ ಕೆಲಸ ಮೇಳ್ಹ,I got a new job.
ತೆಣ ಪುಸ್ತಕ ಉಘಲ್ಲಿ,He opened the book.
ತೆಕ್ಕ ಉತ್ತರ ಗೊಂತುದಲ್ಲ,She knew the answer.
ಅಮ್ಮಿ ರಿವಿಶನ್ ಕರ್ಯ,Let us revise the lesson.
ತೂ ಪ್ರಶ್ನೆ ವಿತಾರಿ,You ask a question.
ಹಾವ ಅಜ್ಜೇಂಟು ವಾಚಿರ,I learn today.
ತೀ ಪತ್ತ ವಾಚಿರ,He reads the letter.
ತೆಣೆ ಸೈ ಪಳೇಲ,She saw the river.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಚಾ ಪಿಂತೋವ್ಯ,Let us drink tea in the morning.
ತುಮ್ಮಿ ಹಂಗ ರಾಭ್ಯ,You wait here.
ಏ ಚಿತ್ರ ಭರ್ತಿ ರೋಕ ಅತ್ಸ,This picture is very beautiful to me.
ತೋ ಕೆಲಸಾಚ ಬಗ್ಗೆ ಯೋಚನ ಕರ್ರ,He thinks about work.
ತೆಣೆ ಹಣ್ಣು ಧುಲ್ಲ,She washed the fruit.
ಅಮ್ಮಿ ಅತ್ತ ಘರಾಣಿ ಒಚ್ಯ,Let us go home now.
ಮುಕ್ಕ ವಿಸಾರ್ನಕ್ಕ,You remember me.
ಹಾವ ಉತ್ತರ ಸೊದ್ದುನಗನ್ನೂಟ್ಟ,I am searching for the answer.
ತೆಣ ದಿವೊ ವಡೇಲ್ಲ,He turned off the lamp.
ತೆಣೆ ಕಥೆ ವಾಚಿಲ,She read a story.
ತೂ ಹಂಗ ಗಮನ ದೀ,You pay attention.
ಏ ವಿಷಯ ಮುಕ್ಕ ಕ್ಲಿಯರ್ ದಲ್ಲ,This topic is clear to me.
ತೆ ಣ ನವೆ ಪುಸ್ತಕ ವಾಚಿಲ,He read a new book.
ತೆ ಣೆ ಕಾಗದ ಧಂಪಿಲ,She folded the paper.
